bait_uniprot	bait_symbol	bait_usage
A0A024R136	RACGAP1	2
A0A024R275	NA	2
A0A024R493	NA	2
A0A024R4B0	NA	2
A0A024R4Q5	TFPT	2
A0A024R4Z4	ZFP91	2
A0A024R5S0	NA	2
A0A024R6G0	NA	1
A0A024R6X4	PLEKHG4	2
A0A024R8A9	NA	1
A0A024R8L2	NA	2
A0A024R8L5	NA	2
A0A024RA76	NA	1
A0A024RBS3	NA	1
A0A024RCD1	NA	2
A0A024RCZ4	NA	2
A0A087WSW0	HELT	2
A0A087WUI6	PIBF1	2
A0A087WZT3	BOLA2B	2
A0A087WZU1	PTPRQ	2
A0A087WZY1	NA	2
A0A0A0MR80	EP400	2
A0A0B4J1Y2	TTC21A	2
A0A0B4J2F0	PIGBOS1	2
A0A0B4J2F2	LOC102724428	2
A0A0C4DFN3	MGLL	2
A0A0C4DFT7	GYPA	2
A0A0C4DFY0	SELPLG	2
A0A0C4DFY5	GPRC5C	2
A0A0C4DG38	ING3	2
A0A0C4DG62	NA	2
A0A0C4DG91	NME6	2
A0A0C4DG94	ATP11B	2
A0A0C4DGF1	ZBTB32	2
A0A0C4DGJ5	PTCH1	2
A0A0C4DGM4	HYKK	2
A0A0C4DGQ3	ZNF556	2
A0A0C4DGQ7	EML2	2
A0A0C4DGT3	IQSEC1	2
A0A0C4DGV4	NA	2
A0A0C4DGX9	TTC8	2
A0A0G2JHK4	DDR1	2
A0A0K2S4Q6	CD300H	2
A0A0S2Z328	NA	2
A0A0S2Z364	NA	2
A0A0S2Z3D2	NA	2
A0A0S2Z3D6	NA	2
A0A0S2Z3E6	CAPN3	2
A0A0S2Z3E8	NA	2
A0A0S2Z3E9	NA	2
A0A0S2Z3G1	NA	2
A0A0S2Z3K0	NA	2
A0A0S2Z3N5	FANCC	2
A0A0S2Z3N6	NA	2
A0A0S2Z3P2	NA	2
A0A0S2Z3R2	NA	2
A0A0S2Z3S1	NA	2
A0A0S2Z3T7	NA	2
A0A0S2Z3U4	NA	2
A0A0S2Z3V1	EFEMP1	2
A0A0S2Z3X1	NA	2
A0A0S2Z3Y6	NA	2
A0A0S2Z3Z3	NA	2
A0A0S2Z408	NA	2
A0A0S2Z442	NA	2
A0A0S2Z470	PRCC	2
A0A0S2Z4A7	NA	2
A0A0S2Z4D7	NA	2
A0A0S2Z4D9	NA	2
A0A0S2Z4E4	NA	2
A0A0S2Z4E5	NA	2
A0A0S2Z4F2	NA	2
A0A0S2Z4G9	RNF6	2
A0A0S2Z4H3	NA	2
A0A0S2Z4I0	NA	2
A0A0S2Z4M0	NA	2
A0A0S2Z4M1	NA	2
A0A0S2Z4M5	NA	2
A0A0S2Z4P3	NA	2
A0A0S2Z4Q4	NA	2
A0A0S2Z4Q8	NA	1
A0A0S2Z4U3	NA	2
A0A0S2Z4Y0	NA	2
A0A0S2Z4Y8	NA	2
A0A0S2Z4Z6	NA	2
A0A0S2Z505	PSTPIP2	2
A0A0S2Z507	NA	2
A0A0S2Z515	NA	2
A0A0S2Z528	NA	2
A0A0S2Z545	NA	2
A0A0S2Z547	ARHGEF15	2
A0A0S2Z551	NA	2
A0A0S2Z576	NA	2
A0A0S2Z596	NA	2
A0A0S2Z5B5	NA	2
A0A0S2Z5C1	NA	2
A0A0S2Z5D3	NA	2
A0A0S2Z5D5	NA	2
A0A0S2Z5E1	NA	2
A0A0S2Z5F2	GNMT	2
A0A0S2Z5F8	NA	2
A0A0S2Z5G4	BANP	2
A0A0S2Z5I3	NA	2
A0A0S2Z5K2	NA	2
A0A0S2Z5K4	CSGALNACT2	2
A0A0S2Z5K8	STRBP	2
A0A0S2Z5Q7	ALS2	1
A0A0S2Z5R8	NA	2
A0A0S2Z5S9	NA	2
A0A0S2Z5T9	NA	2
A0A0S2Z5W7	ACBD4	2
A0A0S2Z5W9	NA	2
A0A0S2Z5X4	NA	2
A0A0S2Z5Y1	NA	2
A0A0S2Z5Y6	UCK1	2
A0A0S2Z5Y8	NA	2
A0A0S2Z5Z3	NA	2
A0A0S2Z5Z9	NA	2
A0A0S2Z604	NA	2
A0A0S2Z615	NA	2
A0A0S2Z639	NA	2
A0A0S2Z645	NA	2
A0A0S2Z6A9	NA	2
A0A0S2Z6B0	NA	2
A0A0S2Z6F4	NA	2
A0A0S2Z6H0	NA	2
A0A0S2Z6I7	NA	2
A0A0S2Z6M9	NA	2
A0A0S2Z6P0	NA	2
A0A0S2Z6U5	UPP2	2
A0A0S2Z6X0	NA	2
A0A0U1RRE5	NBDY	1
A0A142JA41	NA	2
A0A158RFV5	GAGE1	2
A0A1B0GUV7	TEX48	2
A0A1B0GWI1	NA	2
A0A1U9X8X8	NA	2
A0A286YEY3	SRGAP2B	2
A0A286YFD7	MAPK10	2
A0A2K7P776	NA	2
A0A2R8YD28	CDK13	2
A0A384DVV8	KIAA0040	2
A0A384ME17	TUFM	2
A0A384ME25	NA	1
A0A455ZAR2	NA	2
A0A494C108	KRI1	2
A0A583ZBW7	NA	2
A0A583ZBW8	NA	2
A0AUL9	NA	2
A0AV02	SLC12A8	2
A0AV96	RBM47	2
A0AVF1	IFT56	2
A0AVG3	TSNARE1	2
A0AVK6	E2F8	2
A0AVN2	BARD1	1
A0AVT1	UBA6	2
A0FGR8	ESYT2	2
A0FGR9	ESYT3	1
A0JLT2	MED19	2
A0JP07	IQCN	2
A0JP26	POTEB3	2
A0MZ66	SHTN1	2
A0PHL1	NA	2
A0PJW6	TMEM223	2
A0PJX0	CIB4	2
A0PJX2	TLDC2	2
A0PJX4	SHISA3	2
A0PJY2	FEZF1	2
A0PK00	TMEM120B	2
A0PK05	TMEM72	2
A0PK11	CLRN2	1
A1A4F0	SLC66A1L	2
A1A4S6	ARHGAP10	2
A1A4V9	CFAP119	2
A1A519	FAM170A	2
A1A580	KRTAP23-1	1
A1A5B0	NA	2
A1A5B4	ANO9	2
A1A5C7	SLC22A23	2
A1A5D2	ARHGAP33	2
A1DRY3	ANKRD42	2
A1E959	ODAM	2
A1KXE4	FAM168B	2
A1L0T0	ILVBL	2
A1L157	TSPAN11	2
A1L188	NDUFAF8	2
A1L190	SYCE3	2
A1L1C6	NA	2
A1L390	PLEKHG3	2
A1L3X4	MT1DP	1
A1L429	GAGE12D	1
A1L443	NUTM2F	2
A1L4F5	NA	1
A1L4G7	NA	2
A1L4H1	SSC5D	2
A1L4K1	FSD2	2
A1L4L9	NA	2
A1X283	SH3PXD2B	2
