gene_or_protein,study_bias_score
ALPI,21
NAA20,2
FBXO10,9
HERPUD2,18
CBX8,181
LNPK,39
FAM193B,12
TTC38,4
CDCA3,31
KLHL28,12
RABEPK,7
HMGA2,8
GJB4,10
KRTAP1-5,39
HMGCR,14
C1GALT1C1,8
PER1,23
IDI1,6
CA10,24
LRRC8A,21
EVI2A,12
CRP,51
ASXL3,1
ZCWPW1,3
MRPL21,33
SLC30A5,22
CD14,17
ENTPD4,7
EPS15,68
THAP6,16
SEMA5B,8
PHB,98
ITIH2,14
POU4F2,68
GALE,3
FYB1,21
SNRPG,42
PMM1,13
NFAM1,4
GCC2,23
TMED7,13
SLC25A6,116
CD22,13
TSEN54,20
EMC6,23
TMEM161A,20
NPY2R,53
AEBP2,27
SYK,31
SPDYE2B,1
REC8,10
EXOSC7,38
PSKH1,2
ANKRD18A,3
DOCK7,63
PLEKHG3,21
PRPF38B,14
L3MBTL4,11
PSMD6,89
B4GALNT4,5
TIGD2,1
ZNF227,8
OR14I1,1
IL33,4
S100G,1
GBP1,11
TLR3,14
POC1A,92
NPHP3,16
PLCE1,3
ZNF571,2
ATP23,36
S1PR2,24
MDK,44
ALDH6A1,7
GEMIN5,54
CFAP57,1
RBMS1,16
CUL9,7
FGF14,14
RNPC3,11
GUCY1A1,2
LAX1,4
HINT1,18
JMJD7-PLA2G4B,3
TNFAIP8L2,3
BGN,3
GPD1L,11
IVD,16
LRMDA,4
KDELR1,31
ZFYVE27,44
LRP6,43
FADS2,8
LCLAT1,23
C21orf58,2
ETF1,38
CIC,21
CUEDC1,27
DNAJC10,45
HINFP,6
WWOX,130
GPAT3,6
REXO2,5
ARMCX1,7
TMEM266,11
CELF1,32
RAC1,112
GBP5,9
ZNF446,63
STOM,152
ZNRF2,2
PEBP4,3
TASOR2,54
AP1S2,35
RTN4IP1,32
ZSCAN23,23
ILDR1,4
RBKS,6
TNFRSF12A,5
SLC27A2,31
TIMM10,12
PCBD2,11
MOAP1,18
CYP4F3,1
SLC5A12,1
C2orf83,1
GAB2,15
RAB41,6
KIFC1,15
TFG,150
BZW1,26
TENT4B,14
ADAMTS18,3
UFSP1,39
UBN1,10
SLIRP,34
IFFO1,16
MAML1,11
GRM2,22
RGR,4
TLR6,4
BTBD2,37
TMEM241,1
GPR50,18
FAM189A2,58
FAM186B,1
TYMS,12
DUS1L,4
BNIP5,4
PNOC,1
SUSD1,12
ECHDC2,9
ZFP91,29
NRAS,49
ANKZF1,6
HK1,45
CCDC68,13
MEIKIN,2
MASTL,21
TLE6,1
GAS2L1,23
ZNF229,3
TRIP4,7
COG1,17
APMAP,10
LIG3,50
TMEM74B,1
HECTD4,3
KIF3C,10
FAM135B,2
C20orf202,8
OR4A16,1
DNAJB4,34
FBXO5,16
UTP11,9
PANX2,4
VPS45,29
DCK,7
FAM219A,29
ANTXR2,6
BAAT,20
RBM46,3
MSRB2,5
PLAT,10
SREBF2,55
AMIGO3,12
DHX58,14
URB2,19
ST6GAL2,15
C1QC,9
LCN9,1
C1QTNF9,32
CGA,2
XAB2,46
SNTB1,18
BTNL9,15
UVSSA,4
GOLM2,3
BAHD1,43
PAK1IP1,19
DNASE2,3
ARF4,36
IFFO2,2
UTP18,17
TNFRSF1A,146
PKIA,8
ANGEL1,11
NOP56,170
KDM5B,7
TMEM69,2
AATK,55
MTMR6,28
FCAR,1
NSMCE1,17
CFTR,612
C2,10
CMPK1,14
GFAP,89
ARMC1,27
ZNF699,7
STOML2,47
ETS1,70
CARD11,12
ICOS,12
CLIC4,9
JMJD6,130
GRIN2A,4
NT5C3B,1
METTL2A,13
TARS1,30
ASIC1,10
CAPZA2,228
BCL2A1,8
UBR5,64
COL1A2,22
TRAM1L1,26
FUBP1,39
SEC22B,103
TOMM70,19
APBB1IP,7
OAF,17
ASXL1,28
MCTP2,1
AMY1A,33
KLHDC3,44
MCM2,63
LAMC1,18
DCTN3,35
SSX5,6
KRTAP5-2,43
LURAP1,16
RPLP1,68
MUC1,119
ST3GAL1,14
FAM221B,19
MGLL,26
CCR4,30
NPAS3,2
PTPN14,24
TATDN3,1
BPHL,8
ZBTB39,15
C3orf56,1
GSE1,38
MAP4K1,19
WHRN,13
SLFN12L,3
HAVCR1,1
ADAM12,43
MTG2,21
NIPAL3,10
ARHGAP26,4
VILL,4
MTMR8,6
SP2,8
APCDD1L,3
FOXG1,66
DNAJC14,4
MATN1,2
ZNF517,25
ITGA4,28
CYP3A4,1
LSMEM1,5
CDHR1,1
